experience_years,age,projects_completed,training_hours,salary_lakh
4.5,45.0,20.0,46.0,10.2
17.3,58.0,20.0,90.0,22.6
5.5,26.0,20.0,1.0,10.7
0.6,34.0,7.0,63.0,7.4
7.2,51.0,7.0,47.0,9.4
14.9,40.0,0.0,9.0,15.1
18.0,37.0,15.0,55.0,22.0
6.3,30.0,0.0,73.0,10.6
2.4,52.0,15.0,16.0,7.6
19.5,15.0,2.0,32.0,18.6
4.0,27.0,4.0,56.0,7.0
15.8,53.0,15.0,8.0,17.8
16.4,50.0,12.0,25.0,20.0
6.5,55.0,3.0,65.0,14.1
,55.0,10.0,63.0,12.2
16.5,55.0,15.0,80.0,14.9
4.2,55.0,18.0,61.0,12.8
3.2,57.0,0.0,58.0,6.2
11.1,31.0,20.0,59.0,13.1
11.7,59.0,0.0,82.0,12.6
4.3,33.0,19.0,10.0,8.1
-3.0,55.0,6.0,65.0,11.3
,34.0,14.0,55.0,12.4
15.0,,7.0,41.0,14.9
3.4,22.0,3.0,89.0,9.7
3.4,35.0,7.0,93.0,6.5
16.0,40.0,16.0,91.0,22.8
3.5,25.0,19.0,80.0,6.5
11.5,38.0,19.0,25.0,14.2
1.8,42.0,3.0,98.0,5.9
3.6,58.0,17.0,79.0,11.7
0.6,42.0,0.0,74.0,4.8
2.6,39.0,20.0,85.0,8.5
8.3,58.0,8.0,62.0,12.8
18.1,47.0,17.0,58.0,22.3
10.3,53.0,10.0,58.0,13.1
19.9,51.0,16.0,90.0,24.9
7.2,26.0,15.0,46.0,16.3
6.6,44.0,16.0,,14.6
12.9,22.0,0.0,77.0,12.8
18.9,47.0,15.0,30.0,20.7
,39.0,12.0,66.0,-10.0
6.4,46.0,6.0,97.0,6.8
9.2,42.0,17.0,62.0,14.2
13.4,49.0,6.0,19.0,14.7
9.6,,0.0,96.0,9.9
0.2,42.0,9.0,92.0,4.1
16.7,22.0,14.0,63.0,24.3
11.6,39.0,2.0,95.0,13.4
11.9,26.0,0.0,26.0,12.3
11.7,47.0,14.0,19.0,14.0
16.3,46.0,2.0,99.0,18.4
11.8,44.0,2.0,56.0,12.0
17.8,27.0,3.0,2.0,18.8
8.2,28.0,7.0,82.0,10.2
5.7,37.0,13.0,65.0,11.2
5.9,40.0,8.0,66.0,9.2
16.6,57.0,18.0,98.0,22.0
5.0,46.0,19.0,43.0,12.4
19.3,,3.0,65.0,21.8
19.1,27.0,2.0,55.0,17.5
12.2,36.0,13.0,34.0,11.6
14.4,43.0,10.0,99.0,15.5
20.0,54.0,4.0,67.0,21.4
18.3,40.0,17.0,3.0,22.0
17.9,24.0,7.0,75.0,22.7
2.7,23.0,14.0,85.0,8.3
12.1,51.0,6.0,82.0,14.4
18.7,46.0,17.0,88.0,19.3
2.0,31.0,8.0,53.0,6.6
9.4,21.0,11.0,29.0,16.5
2.7,56.0,18.0,43.0,8.4
6.1,21.0,14.0,15.0,-10.0
5.1,52.0,19.0,65.0,9.3
9.7,45.0,19.0,64.0,13.9
,58.0,11.0,31.0,15.4
16.7,31.0,20.0,69.0,22.6
10.5,28.0,0.0,100.0,16.7
14.4,31.0,18.0,96.0,17.5
2.9,21.0,16.0,66.0,6.6
1.2,32.0,,21.0,5.7
15.9,21.0,20.0,52.0,18.0
10.5,31.0,20.0,51.0,15.9
5.8,27.0,16.0,13.0,11.5
16.3,27.0,4.0,9.0,17.6
12.5,28.0,4.0,9.0,16.3
2.9,40.0,7.0,4.0,5.5
8.3,32.0,13.0,69.0,13.1
2.7,26.0,15.0,23.0,9.8
13.5,59.0,19.0,6.0,15.4
2.3,21.0,4.0,38.0,7.3
2.9,52.0,11.0,15.0,4.6
8.1,21.0,4.0,97.0,11.5
8.1,26.0,18.0,34.0,15.3
8.9,43.0,11.0,1.0,16.7
2.4,45.0,7.0,50.0,5.6
8.2,28.0,7.0,82.0,10.2
15.8,50.0,1.0,69.0,19.2
5.7,50.0,20.0,37.0,10.5
11.5,47.0,12.0,96.0,15.5
5.8,33.0,9.0,36.0,11.7
1.8,42.0,10.0,5.0,3.3
16.0,33.0,7.0,43.0,18.1
11.0,30.0,18.0,9.0,17.3
15.7,60.0,6.0,13.0,16.0
17.2,47.0,1.0,56.0,17.7
17.4,36.0,0.0,96.0,20.8
10.1,33.0,18.0,96.0,16.5
5.3,22.0,7.0,89.0,8.6
12.5,60.0,15.0,16.0,16.3
18.8,24.0,8.0,92.0,22.5
10.5,55.0,13.0,77.0,16.4
19.0,60.0,4.0,61.0,21.1
6.4,22.0,18.0,63.0,13.1
5.7,45.0,5.0,65.0,11.9
16.0,38.0,18.0,59.0,22.6
4.3,35.0,3.0,68.0,4.4
3.9,35.0,10.0,66.0,7.3
5.3,37.0,13.0,6.0,10.4
8.9,54.0,7.0,15.0,12.8
18.7,29.0,3.0,23.0,16.4
8.0,55.0,10.0,38.0,12.6
5.3,22.0,7.0,89.0,8.6
0.0,55.0,14.0,10.0,9.3
19.8,42.0,15.0,17.0,24.6
3.0,56.0,4.0,68.0,5.9
7.4,46.0,11.0,2.0,8.4
18.4,41.0,11.0,87.0,21.7
17.0,60.0,6.0,65.0,16.7
13.3,50.0,11.0,66.0,18.0
4.8,31.0,18.0,6.0,11.3
3.2,57.0,3.0,2.0,10.4
7.0,52.0,5.0,81.0,8.2
1.1,39.0,16.0,34.0,8.2
18.4,45.0,10.0,15.0,20.5
14.2,41.0,6.0,1.0,14.7
6.1,59.0,13.0,10.0,9.8
19.9,37.0,16.0,41.0,20.3
6.5,24.0,1.0,34.0,12.4
12.4,59.0,2.0,92.0,14.0
16.2,33.0,10.0,57.0,14.7
1.5,34.0,4.0,,4.4
1.9,44.0,19.0,67.0,8.7
6.6,23.0,0.0,14.0,8.1
19.7,53.0,14.0,4.0,20.8
13.2,59.0,13.0,44.0,14.0
8.4,27.0,3.0,20.0,10.4
11.5,56.0,19.0,79.0,14.6
10.5,24.0,3.0,76.0,14.7
3.0,53.0,6.0,97.0,8.0
17.4,37.0,1.0,45.0,17.8
5.4,34.0,5.0,66.0,9.9
5.8,52.0,4.0,94.0,10.5
6.9,22.0,14.0,14.0,9.9
1.3,45.0,0.0,57.0,6.2
1.9,58.0,12.0,87.0,6.2
9.8,28.0,9.0,53.0,14.1
11.5,59.0,9.0,90.0,16.4
14.9,50.0,16.0,13.0,16.7
4.1,41.0,14.0,45.0,11.4
0.5,39.0,7.0,56.0,4.8
16.8,53.0,,26.0,15.8
8.4,48.0,17.0,35.0,15.5
18.6,15.0,6.0,28.0,20.5
7.1,48.0,8.0,44.0,12.2
6.6,41.0,5.0,2.0,9.5
12.3,44.0,4.0,6.0,13.9
0.4,45.0,14.0,6.0,3.8
1.8,39.0,18.0,37.0,10.7
12.2,44.0,7.0,20.0,11.8
15.3,46.0,2.0,53.0,19.1
9.1,35.0,9.0,63.0,14.5
11.3,58.0,6.0,19.0,15.9
4.0,43.0,19.0,71.0,10.2
2.7,29.0,19.0,7.0,5.9
18.7,37.0,15.0,98.0,16.8
13.9,46.0,19.0,27.0,16.6
7.7,42.0,15.0,84.0,10.5
7.0,51.0,14.0,90.0,13.1
13.4,32.0,12.0,54.0,16.1
2.0,22.0,18.0,59.0,9.6
15.2,33.0,2.0,42.0,14.7
10.9,32.0,6.0,9.0,12.6
17.4,38.0,6.0,32.0,18.0
11.9,49.0,7.0,17.0,10.8
11.4,34.0,15.0,80.0,18.6
19.1,50.0,18.0,8.0,21.9
4.5,40.0,19.0,1.0,12.2
3.5,43.0,0.0,62.0,5.9
2.1,46.0,18.0,33.0,6.6
18.8,34.0,1.0,2.0,18.6
2.4,50.0,2.0,13.0,7.7
0.5,55.0,16.0,51.0,4.3
1.7,59.0,12.0,63.0,5.4
19.0,29.0,10.0,61.0,20.9
12.7,30.0,14.0,93.0,20.7
17.2,31.0,9.0,10.0,18.9
7.7,45.0,7.0,6.0,7.5
3.4,24.0,15.0,84.0,9.9
6.8,24.0,17.0,58.0,13.0
17.6,26.0,6.0,40.0,19.5
7.1,49.0,15.0,29.0,13.0
12.3,,11.0,59.0,13.1
12.9,54.0,10.0,43.0,13.3
6.3,49.0,7.0,60.0,11.2
11.5,36.0,3.0,46.0,15.0
11.6,43.0,12.0,3.0,16.8
4.6,43.0,8.0,50.0,8.7
9.5,41.0,9.0,85.0,15.2
4.3,36.0,4.0,66.0,11.0
16.2,35.0,9.0,10.0,14.0
2.3,49.0,18.0,23.0,6.3
2.3,48.0,14.0,32.0,8.1
6.5,37.0,17.0,82.0,13.2
4.0,44.0,11.0,96.0,7.3
7.6,45.0,10.0,74.0,12.0
12.6,52.0,11.0,37.0,13.2
4.1,49.0,1.0,74.0,8.5
7.4,21.0,3.0,6.0,11.5
7.1,55.0,1.0,,8.8
6.2,32.0,18.0,37.0,8.2
7.1,48.0,4.0,12.0,8.7
12.2,41.0,2.0,44.0,11.0
19.1,42.0,15.0,43.0,22.3
10.7,47.0,11.0,60.0,10.2
10.7,30.0,3.0,47.0,10.0
17.1,27.0,12.0,38.0,24.4
6.1,41.0,15.0,32.0,14.2
19.9,22.0,13.0,65.0,19.0
17.8,50.0,11.0,85.0,20.4
0.8,47.0,12.0,74.0,6.0
7.5,35.0,20.0,66.0,13.0
12.6,40.0,6.0,67.0,16.5
7.7,31.0,16.0,97.0,15.1
5.3,27.0,15.0,34.0,11.1
18.9,31.0,16.0,86.0,25.7
17.4,51.0,14.0,36.0,18.4
6.4,31.0,18.0,24.0,13.3
6.5,52.0,11.0,89.0,11.8
8.6,32.0,15.0,36.0,10.1
10.7,40.0,7.0,39.0,10.2
10.8,26.0,19.0,21.0,16.1
7.4,44.0,0.0,47.0,10.0
15.7,53.0,8.0,84.0,18.2
1.0,23.0,2.0,89.0,3.6
14.2,48.0,18.0,68.0,19.6
4.8,54.0,9.0,50.0,10.6
3.6,44.0,5.0,46.0,7.0
8.1,22.0,5.0,86.0,12.0
4.7,57.0,15.0,87.0,11.2
5.7,24.0,0.0,1.0,8.0
0.9,34.0,10.0,71.0,4.9
9.4,47.0,4.0,28.0,10.6
7.2,53.0,14.0,67.0,10.1
15.1,35.0,1.0,43.0,14.9
18.6,37.0,3.0,3.0,17.7
14.8,23.0,5.0,34.0,13.7
7.7,29.0,9.0,23.0,14.5
1.5,60.0,14.0,75.0,7.7
18.4,60.0,19.0,31.0,17.9
16.6,59.0,18.0,47.0,19.3
2.4,60.0,18.0,0.0,6.9
13.2,39.0,14.0,70.0,18.0
7.9,54.0,14.0,50.0,9.6
18.8,22.0,5.0,63.0,21.0
16.5,,14.0,83.0,20.7
1.9,32.0,15.0,73.0,5.6
11.2,40.0,2.0,12.0,14.6
13.1,59.0,2.0,37.0,16.0
6.8,56.0,12.0,30.0,10.5
3.2,41.0,2.0,45.0,7.7
3.1,21.0,,20.0,7.3
11.8,52.0,9.0,10.0,10.9
1.5,59.0,18.0,46.0,8.9
3.1,42.0,3.0,24.0,4.0
17.8,42.0,7.0,56.0,15.0
16.3,53.0,1.0,65.0,17.2
19.0,35.0,12.0,17.0,21.3
7.1,29.0,15.0,34.0,9.4
6.7,32.0,8.0,57.0,11.7
9.6,52.0,17.0,56.0,17.2
11.8,28.0,2.0,28.0,14.5
6.0,49.0,10.0,83.0,10.5
4.1,27.0,0.0,100.0,9.1
15.9,25.0,4.0,81.0,16.8
7.5,55.0,1.0,6.0,7.8
15.9,58.0,20.0,75.0,25.2
18.7,43.0,7.0,25.0,17.9
10.2,45.0,4.0,25.0,13.7
5.2,33.0,8.0,90.0,9.5
11.1,49.0,13.0,16.0,15.4
18.6,29.0,18.0,75.0,21.9
9.5,56.0,0.0,81.0,14.5
3.8,60.0,19.0,31.0,9.7
13.5,41.0,9.0,34.0,16.5
11.8,33.0,3.0,6.0,12.0
4.2,32.0,10.0,22.0,10.5
19.6,60.0,8.0,59.0,16.0
14.7,59.0,4.0,65.0,14.4
3.6,,11.0,20.0,4.7
11.8,54.0,14.0,56.0,13.5
19.2,31.0,10.0,88.0,26.3
9.8,24.0,8.0,55.0,9.8
6.4,32.0,16.0,28.0,12.0
17.6,30.0,12.0,64.0,22.3
9.9,59.0,15.0,76.0,13.4
16.2,50.0,8.0,53.0,15.7
16.5,32.0,3.0,21.0,16.5
18.9,27.0,15.0,56.0,18.5
1.9,50.0,7.0,100.0,5.3
4.2,50.0,11.0,25.0,7.3
3.6,46.0,8.0,4.0,8.1
14.1,59.0,18.0,19.0,16.0
5.9,21.0,6.0,61.0,10.7
12.6,46.0,14.0,87.0,14.9
9.0,55.0,2.0,97.0,13.9
19.9,31.0,11.0,26.0,22.9
12.2,46.0,17.0,25.0,16.2
0.8,53.0,8.0,17.0,5.5
12.3,43.0,13.0,54.0,16.1
16.6,55.0,17.0,15.0,17.1
0.4,24.0,4.0,3.0,7.7
5.0,41.0,6.0,79.0,8.5
15.4,26.0,18.0,72.0,21.5
5.7,50.0,16.0,50.0,11.1
17.8,34.0,14.0,49.0,20.9
1.9,49.0,8.0,27.0,10.0
16.2,55.0,1.0,23.0,16.6
16.1,23.0,19.0,27.0,20.8
9.1,55.0,2.0,0.0,9.7
12.0,35.0,7.0,84.0,16.8
17.3,43.0,10.0,46.0,20.7
3.3,23.0,17.0,98.0,15.1
2.2,31.0,0.0,18.0,2.1
15.6,46.0,19.0,58.0,18.5
8.8,40.0,3.0,36.0,13.1
4.4,59.0,13.0,25.0,10.1
19.3,30.0,15.0,66.0,23.3
6.2,31.0,8.0,54.0,9.9
2.9,47.0,15.0,9.0,7.4
2.8,55.0,13.0,0.0,10.0
14.7,41.0,12.0,44.0,15.4
15.0,27.0,7.0,71.0,16.4
1.1,25.0,10.0,50.0,8.3
7.0,35.0,3.0,23.0,10.1
10.6,43.0,6.0,0.0,13.6
8.1,48.0,14.0,21.0,12.8
10.7,55.0,9.0,76.0,20.0
10.0,42.0,16.0,99.0,15.2
3.8,57.0,4.0,15.0,6.8
6.3,56.0,0.0,92.0,8.9
6.4,21.0,1.0,65.0,8.0
3.3,57.0,18.0,79.0,13.2
14.8,33.0,18.0,17.0,16.2
14.5,22.0,12.0,25.0,15.3
8.2,54.0,15.0,2.0,10.9
9.9,54.0,8.0,72.0,12.7
8.5,34.0,14.0,24.0,14.7
9.6,22.0,2.0,9.0,15.8
7.1,48.0,4.0,18.0,9.9
1.1,54.0,9.0,35.0,6.3
,30.0,12.0,29.0,12.0
4.2,59.0,4.0,52.0,12.3
8.4,45.0,1.0,41.0,11.8
15.9,52.0,6.0,32.0,19.1
15.1,52.0,18.0,87.0,18.8
13.7,40.0,10.0,17.0,13.9
7.1,39.0,6.0,96.0,14.3
9.7,40.0,14.0,9.0,13.7
1.9,40.0,8.0,0.0,3.4
8.1,49.0,3.0,83.0,11.7
9.3,22.0,18.0,37.0,16.6
18.8,30.0,12.0,82.0,21.9
15.8,21.0,19.0,80.0,18.5
9.8,42.0,15.0,29.0,12.8
14.7,34.0,10.0,98.0,15.3
13.4,22.0,17.0,34.0,16.1
17.3,52.0,16.0,54.0,22.9
16.4,55.0,18.0,33.0,21.0
11.2,59.0,13.0,70.0,15.4
19.6,48.0,4.0,82.0,21.7
2.7,47.0,12.0,59.0,8.0
5.1,55.0,6.0,73.0,8.4
16.0,26.0,18.0,93.0,18.7
11.6,40.0,8.0,15.0,11.2
13.9,33.0,15.0,24.0,16.9
10.3,28.0,20.0,82.0,15.3
4.1,28.0,3.0,56.0,6.5
17.1,38.0,12.0,89.0,20.1
15.9,34.0,18.0,9.0,19.8
16.7,21.0,12.0,73.0,17.5
4.6,33.0,18.0,18.0,10.1
7.5,29.0,4.0,23.0,13.8
4.9,56.0,17.0,54.0,11.0
4.0,47.0,14.0,69.0,10.7
1.8,42.0,16.0,6.0,7.5
9.8,29.0,7.0,95.0,11.4
6.7,21.0,10.0,78.0,13.7
7.9,39.0,17.0,79.0,9.8
16.9,53.0,13.0,19.0,15.5
6.1,38.0,12.0,61.0,12.7
0.0,60.0,7.0,92.0,4.4
6.4,21.0,0.0,88.0,10.7
2.1,40.0,7.0,84.0,14.1
0.6,32.0,0.0,,5.9
12.8,29.0,19.0,74.0,19.3
0.2,40.0,20.0,40.0,6.4
1.9,21.0,9.0,39.0,6.4
19.3,54.0,9.0,6.0,23.0
4.9,23.0,13.0,58.0,13.3
2.4,27.0,3.0,63.0,7.0
19.0,30.0,6.0,70.0,21.8
,30.0,12.0,29.0,12.0
15.6,46.0,3.0,10.0,19.2
4.8,57.0,3.0,32.0,7.0
17.4,47.0,3.0,68.0,20.6
6.6,40.0,8.0,24.0,11.0
16.3,52.0,4.0,24.0,15.8
8.5,29.0,4.0,54.0,12.8
3.9,55.0,1.0,66.0,6.2
14.8,52.0,3.0,53.0,14.3
19.8,33.0,0.0,46.0,21.1
1.8,38.0,4.0,8.0,1.4
10.7,60.0,17.0,23.0,12.6
13.6,33.0,9.0,98.0,18.0
15.5,23.0,5.0,38.0,18.4
19.8,32.0,16.0,2.0,20.2
9.1,42.0,9.0,11.0,10.8
0.8,32.0,1.0,15.0,2.6
7.8,35.0,3.0,61.0,9.5
0.2,23.0,20.0,85.0,9.8
18.4,47.0,5.0,5.0,17.7
19.9,41.0,19.0,33.0,22.0
3.0,58.0,7.0,15.0,4.5
1.9,27.0,19.0,48.0,8.8
4.2,46.0,14.0,43.0,10.1
18.0,51.0,18.0,97.0,20.0
3.7,27.0,10.0,69.0,13.7
19.7,34.0,4.0,59.0,24.6
10.1,36.0,9.0,83.0,13.6
6.5,39.0,14.0,58.0,13.9
1.9,54.0,13.0,82.0,7.6
2.1,27.0,20.0,36.0,6.0
6.5,38.0,12.0,64.0,12.0
0.9,46.0,6.0,63.0,6.9
16.6,43.0,7.0,4.0,19.9
11.7,47.0,1.0,23.0,12.6
1.9,54.0,1.0,60.0,8.1
12.7,32.0,13.0,72.0,15.7
19.3,26.0,4.0,22.0,21.2
7.1,39.0,1.0,40.0,8.0
6.7,46.0,12.0,47.0,15.2
15.1,49.0,11.0,65.0,21.0
6.5,58.0,3.0,60.0,10.6
10.0,40.0,19.0,56.0,16.6
10.8,42.0,4.0,0.0,9.4
17.5,48.0,19.0,43.0,22.0
15.4,46.0,0.0,54.0,18.9
14.7,42.0,7.0,27.0,14.9
6.2,36.0,3.0,20.0,6.4
8.7,38.0,16.0,80.0,12.0
14.6,34.0,1.0,86.0,15.5
,36.0,11.0,28.0,17.6
16.3,59.0,17.0,73.0,21.2
-3.0,49.0,10.0,14.0,1.7
19.0,30.0,6.0,53.0,16.9
12.1,41.0,20.0,50.0,18.0
7.2,58.0,18.0,38.0,7.6
2.1,21.0,19.0,10.0,10.0
11.8,52.0,3.0,98.0,16.1
14.9,23.0,20.0,71.0,18.9
4.6,40.0,4.0,16.0,7.5
7.1,45.0,13.0,54.0,12.7
17.1,54.0,0.0,91.0,19.7
9.4,37.0,8.0,46.0,13.7
8.9,32.0,3.0,33.0,9.8
1.9,58.0,14.0,96.0,8.7
16.5,35.0,13.0,25.0,21.5
8.0,23.0,13.0,26.0,8.9
4.2,31.0,6.0,56.0,6.0
15.0,30.0,18.0,30.0,19.4
16.5,45.0,15.0,28.0,22.9
7.5,35.0,6.0,0.0,9.1
